"SICL"|No |No |"Silty clay loam"|"41090756"|"81281142"
"ST-SIC"|No |Yes|"Stony silty clay"|"41090757"|"81281143"
"SICL"|No |Yes|"Silty clay loam"|"41090758"|"81281144"
"SIL"|No |Yes|"Silt loam"|"41090759"|"81281145"
"SICL"|No |Yes|"Silty clay loam"|"41090760"|"81281146"
"SICL"|No |Yes|"Silty clay loam"|"41090761"|"81281147"
"WB"|No |Yes|"Weathered bedrock"|"41090762"|"81281148"
"SIC"|No |Yes|"Silty clay"|"41090763"|"81281149"
"SIC"|No |Yes|"Silty clay"|"41090764"|"81281150"
"SIC"|No |Yes|"Silty clay"|"41090765"|"81281151"
"SIC"|No |Yes|"Silty clay"|"41090766"|"81281152"
"SIL"|No |Yes|"Silt loam"|"41090767"|"81281153"
"SIC"|No |Yes|"Silty clay"|"41090768"|"81281154"
"SICL"|No |No |"Silty clay loam"|"41090769"|"81281155"
"SIC"|No |No |"Silty clay"|"41090769"|"81281156"
"WB"|No |Yes|"Weathered bedrock"|"41090770"|"81281157"
"CL"|No |Yes|"Clay loam"|"41090771"|"81281158"
"SR- S SICL"|Yes|Yes|"Stratified sand to silty clay loam"|"41090772"|"81281159"
"L"|No |Yes|"Loam"|"41090773"|"81281160"
"LS"|No |No |"Loamy sand"|"41090774"|"81281161"
"S"|No |No |"Sand"|"41090774"|"81281162"
"LS"|No |No |"Loamy sand"|"41090775"|"81281163"
"S"|No |No |"Sand"|"41090775"|"81281164"
"CL"|No |Yes|"Clay loam"|"41090776"|"81281165"
"C"|No |Yes|"Clay"|"41090777"|"81281166"
"LS"|No |No |"Loamy sand"|"41090778"|"81281167"
"S"|No |No |"Sand"|"41090778"|"81281168"
"CL"|No |Yes|"Clay loam"|"41090779"|"81281169"
"SR- S SICL"|Yes|Yes|"Stratified sand to silty clay loam"|"41090780"|"81281170"
"SL"|No |Yes|"Sandy loam"|"41090781"|"81281171"
"CL"|No |Yes|"Clay loam"|"41090782"|"81281172"
"SR- S SI"|Yes|Yes|"Stratified sand to silt"|"41090783"|"81281173"
"CL"|No |Yes|"Clay loam"|"41090784"|"81281174"
"SR- S SICL"|Yes|Yes|"Stratified sand to silty clay loam"|"41090785"|"81281175"
"CL"|No |Yes|"Clay loam"|"41090786"|"81281176"
"SL"|No |Yes|"Sandy loam"|"41090787"|"81281177"
"SR- S SI"|Yes|Yes|"Stratified sand to silt"|"41090788"|"81281178"
"SIC"|No |Yes|"Silty clay"|"41090789"|"81281179"
"SIC"|No |Yes|"Silty clay"|"41090790"|"81281180"
"SICL"|No |Yes|"Silty clay loam"|"41090791"|"81281181"
"CBV-CL"|No |Yes|"Very cobbly clay loam"|"41090792"|"81281182"
"WB"|No |Yes|"Weathered bedrock"|"41090793"|"81281183"
"SIC"|No |Yes|"Silty clay"|"41090794"|"81281184"
"SIC"|No |No |"Silty clay"|"41090795"|"81281185"
"SICL"|No |No |"Silty clay loam"|"41090795"|"81281186"
"UWB"|No |Yes|"Unweathered bedrock"|"41090796"|"81281187"
"SIC"|No |Yes|"Silty clay"|"41090797"|"81281188"
"SIC"|No |Yes|"Silty clay"|"41090798"|"81281189"
"IND"|No |Yes|"Indurated"|"41090799"|"81281190"
"WB"|No |Yes|"Weathered bedrock"|"41090800"|"81281191"
"SICL"|No |No |"Silty clay loam"|"41090801"|"81281192"
"SIC"|No |No |"Silty clay"|"41090801"|"81281193"
"WB"|No |Yes|"Weathered bedrock"|"41090802"|"81281194"
"SICL"|No |Yes|"Silty clay loam"|"41090803"|"81281195"
"SIC"|No |Yes|"Silty clay"|"41090804"|"81281196"
"SIC"|No |No |"Silty clay"|"41090805"|"81281197"
"CL"|No |No |"Clay loam"|"41090805"|"81281198"
"SIC"|No |Yes|"Silty clay"|"41090806"|"81281199"
"SIC"|No |Yes|"Silty clay"|"41090807"|"81281200"
